Players,Team,BYE,POS,PassingCompletions,PassingAttempts,PassingYardsYDS,PassingTDS,RushingAttempts,RushingYards,RushingTDS,Catches,ReceivingYards,ReceivingTDS,FantasyPts,YardsPerCatch,YardsPreRun,PasYardsPerPass,CatchPercent,PassCompPercent,PassingInterceoptions,Season,Week
Jalen Hurts,PHI,5,QB,22,31,283,2,10,45,1,,,,32.62,,,9.2,,0.72,0.00,2024,10
Lamar Jackson,BAL,14,QB,23,33,295,2,9,55,0,,,,31.22,,,8.9,,0.69,0.00,2024,10
Daniel Jones,NYG,11,QB,25,36,251,2,8,43,1,,,,28.32,,,7.0,,0.68,1.00,2024,10
Josh Allen,BUF,12,QB,23,32,269,2,6,30,1,,,,27.99,,,8.3,,0.71,1.00,2024,10
Jayden Daniels,WAS,14,QB,21,30,253,1,11,58,1,,,,27.42,,,8.5,,0.71,1.00,2024,10
Sam Darnold,MIN,6,QB,24,32,299,2,4,16,0,,,,25.02,,,9.3,,0.76,1.00,2024,10
Brock Purdy,SF,9,QB,24,34,308,2,5,24,0,,,,24.86,,,9.0,,0.69,1.00,2024,10
Joe Burrow,CIN,12,QB,26,36,299,2,4,10,0,,,,22.87,,,8.3,,0.71,1.00,2024,10
C.J. Stroud,HOU,14,QB,24,38,255,2,3,13,0,,,,22.58,,,6.7,,0.63,1.00,2024,10
Patrick Mahomes,KC,6,QB,27,38,250,2,5,25,0,,,,21.98,,,6.6,,0.72,1.00,2024,10
Russell Wilson,PIT,9,QB,23,32,255,2,4,20,0,,,,21.77,,,8.0,,0.71,1.00,2024,10
Tua Tagovailoa,MIA,6,QB,24,36,284,2,2,5,0,,,,21.68,,,7.8,,0.67,1.00,2024,10
Caleb Williams,CHI,7,QB,22,34,234,2,5,25,0,,,,21.16,,,7.0,,0.64,1.00,2024,10
Aaron Rodgers,NYJ,12,QB,24,35,252,2,2,7,0,,,,20.27,,,7.2,,0.67,1.00,2024,10
Matthew Stafford,LAR,6,QB,24,38,256,2,2,4,0,,,,20.24,,,6.8,,0.64,1.00,2024,10
Jared Goff,DET,5,QB,24,33,253,2,2,4,0,,,,20.12,,,7.8,,0.73,1.00,2024,10
Justin Herbert,LAC,5,QB,20,31,205,2,4,13,0,,,,20.10,,,6.6,,0.64,1.00,2024,10
Baker Mayfield,TB,11,QB,25,35,261,2,3,6,0,,,,19.72,,,7.6,,0.71,2.00,2024,10
Kyler Murray,ARI,11,QB,17,29,188,1,6,39,1,,,,19.28,,,6.5,,0.58,1.00,2024,10
Kirk Cousins,ATL,12,QB,23,33,274,1,2,5,0,,,,17.81,,,8.3,,0.68,1.00,2024,10
Drake Maye,NE,14,QB,20,34,208,1,6,29,0,,,,16.80,,,6.2,,0.60,2.00,2024,10
Joe Flacco,IND,14,QB,21,35,233,1,2,5,0,,,,15.19,,,6.6,,0.59,1.00,2024,10
Bo Nix,DEN,14,QB,20,32,184,1,5,23,0,,,,15.02,,,5.7,,0.63,2.00,2024,10
Cooper Rush,DAL,7,QB,23,37,231,1,2,3,0,,,,14.90,,,6.2,,0.61,1.00,2024,10
Mac Jones,JAC,12,QB,20,32,226,1,3,8,0,,,,14.09,,,7.1,,0.61,2.00,2024,10
Derek Carr,NO,12,QB,24,34,211,1,2,5,0,,,,14.04,,,6.1,,0.70,1.00,2024,10
Bryce Young,CAR,11,QB,21,31,201,1,3,16,0,,,,13.63,,,6.5,,0.69,2.00,2024,10
Will Levis,TEN,5,QB,20,33,180,1,4,14,0,,,,12.42,,,5.4,,0.61,2.00,2024,10
Spencer Rattler,NO,12,QB,0,0,0,0,0,0,0,,,,0.00,,,6.7,,0.65,0.00,2024,10
Andy Dalton,CAR,11,QB,0,0,0,0,0,0,0,,,,0.00,,,6.8,,0.62,0.00,2024,10
Desmond Ridder,LV,10,QB,0,0,0,0,0,0,0,,,,0.00,,,7.1,,0.63,0.00,2024,10
Jacoby Brissett,NE,14,QB,0,0,0,0,0,0,0,,,,0.00,,,7.0,,0.63,0.00,2024,10
Justin Fields,PIT,9,QB,0,0,0,0,0,0,0,,,,0.00,,,7.0,,0.62,0.00,2024,10
Josh Johnson,BAL,14,QB,0,0,0,0,0,0,0,,,,0.00,,,6.8,,0.62,0.00,2024,10
Malik Willis,GB,10,QB,0,0,0,0,0,0,0,,,,0.00,,,7.0,,0.62,0.00,2024,10
Clayton Tune,ARI,11,QB,0,0,0,0,0,0,0,,,,0.00,,,7.2,,0.63,0.00,2024,10
Jimmy Garoppolo,LAR,6,QB,0,0,0,0,0,0,0,,,,0.00,,,7.8,,0.65,0.00,2024,10
Joshua Dobbs,SF,9,QB,0,0,0,0,0,0,0,,,,0.00,,,7.6,,0.62,0.00,2024,10
Carson Wentz,KC,6,QB,0,0,0,0,0,0,0,,,,0.00,,,7.2,,0.63,0.00,2024,10
Sam Howell,SEA,10,QB,0,0,0,0,0,0,0,,,,0.00,,,7.3,,0.65,0.00,2024,10
Michael Penix Jr.,ATL,12,QB,0,0,0,0,0,0,0,,,,0.00,,,7.2,,0.66,0.00,2024,10
Dorian Thompson-Robinson,CLE,10,QB,0,0,0,0,0,0,0,,,,0.00,,,7.2,,0.60,0.00,2024,10
Anthony Richardson,IND,14,QB,0,0,0,0,0,0,0,,,,0.00,,,6.4,,0.66,0.00,2024,10
Nick Mullens,MIN,6,QB,0,0,0,0,0,0,0,,,,0.00,,,7.3,,0.63,0.00,2024,10
Jarrett Stidham,DEN,14,QB,0,0,0,0,0,0,0,,,,0.00,,,7.6,,0.61,0.00,2024,10
Mason Rudolph,TEN,5,QB,0,0,0,0,0,0,0,,,,0.00,,,6.7,,0.61,0.00,2024,10
Trey Lance,DAL,7,QB,0,0,0,0,0,0,0,,,,0.00,,,7.1,,0.65,0.00,2024,10
Trevor Lawrence,JAC,12,QB,0,0,0,0,0,0,0,,,,0.00,,,7.1,,0.62,0.00,2024,10
Kenny Pickett,PHI,5,QB,0,0,0,0,0,0,0,,,,0.00,,,7.3,,0.63,0.00,2024,10
Kyle Trask,TB,11,QB,0,0,0,0,0,0,0,,,,0.00,,,6.9,,0.62,0.00,2024,10
